extent,resolution,mod_full_aic,mod_demand_aic,mod_supply_aic
England,1km,60449.248426421684,61139.82552595555,60510.91586805216
England,5km,25635.559700780028,26016.86470895397,25701.785509835674
England,10km,13257.832880700078,13511.160397649614,13256.53674871207
England,25km,4068.9708508599265,4145.617173217715,4070.5436319569003
England,50km,1432.7416243063917,1464.542923915216,1448.8498197267756
England,100km,526.0070674892447,524.6849125954675,535.1817309625644
Europe,1km,261874.6702197868,263533.83862428827,263347.6584530992
Europe,5km,150673.44090396847,152077.5473509414,151521.98740888777
Europe,10km,100761.9980552246,101638.53686268491,101114.16680067181
Europe,25km,44935.69368513665,45123.903211046665,45293.60221462486
Europe,50km,19598.064464629606,19657.147030347707,20112.32260146146
Europe,100km,7545.890885726732,7591.827202398475,7730.531307012295
